FIPS,EDU_PESS_Districts,EDU_PESS_Schools,EDU_PESS_Local_Inst,EDU_PESS_Students
17119,18,82,79,37838
17121,15,29,26,6462
17123,2,5,5,2018
17125,3,10,10,2412
17127,2,9,9,2488
17129,3,9,9,1826
17131,2,10,10,2088
17133,6,15,12,5207
17135,5,16,16,4283
17137,6,23,21,4949
17139,2,6,6,1696
17141,11,26,25,8743
17143,21,75,72,28756
17145,6,8,8,2794
17147,4,13,13,3190
17149,4,11,11,2536
17151,1,2,2,527
17153,3,5,4,843
17155,1,4,4,858
17157,8,14,13,4101
17159,2,5,3,2398
17161,13,51,47,22367
17163,34,90,87,43413
17165,4,13,13,4149
17167,15,74,67,30581
17169,1,4,4,1123
17171,2,5,5,854
17173,4,10,10,2842
17175,2,5,5,905
17177,7,23,20,6609
17179,21,55,52,20535
17181,7,15,15,2954
17183,14,38,36,13078
17185,2,5,5,1650
17187,4,14,9,2714
17189,6,7,7,1919
17191,7,12,12,2504
17193,6,15,12,2579
17195,13,35,28,9104
17197,36,173,166,124073
17199,7,23,21,10388
17201,14,92,87,44972
17203,11,24,24,6600
18001,4,10,10,4366
18003,6,86,84,53982
18005,2,19,19,12425
18007,1,4,4,1871
18009,1,5,5,1708
18011,3,17,17,12074
18013,1,6,6,2001
18015,2,6,6,2521
18017,3,14,14,6621
18019,5,32,31,17214
18021,1,10,10,4228
18023,4,11,11,6314
18025,1,5,5,1555
18027,4,11,11,4569
18029,3,15,15,7976
18031,2,7,7,4228
18033,4,16,16,7148
18035,10,36,33,15736
18037,5,18,18,7127
18039,7,57,57,36588
18041,2,9,9,3562
18043,2,17,16,11962
18045,3,7,7,2741
18047,2,9,9,3696
18049,2,6,6,2880
18051,3,13,13,4932
18053,6,28,27,10469
18055,6,14,13,5103
18057,11,69,64,62736
18059,5,21,21,13197
18061,3,15,15,6127
18063,6,42,42,29475
18065,5,18,18,7346
18067,6,27,26,13811
18069,1,11,11,5265
18071,4,15,15,6983
18073,2,9,9,5279
18075,1,10,10,3376
18077,4,11,10,4358
18079,1,8,8,4400
18081,8,38,37,26396
18083,4,12,11,5252
18085,3,20,20,11888
18087,3,13,13,5513
18089,29,130,118,81268
18091,8,36,35,16876
18093,2,19,19,6541
18095,7,28,26,19499
18097,64,247,193,158125
18099,5,15,15,8044
18101,2,5,5,1395
18103,3,10,10,5777
18105,4,32,30,14369
18107,3,16,16,6149
18109,4,22,22,11016
18111,2,7,7,2239
18113,3,14,14,7300
18115,1,3,3,770
18117,5,8,6,3115
18119,1,6,6,2586
18121,2,7,7,2240
18123,3,5,5,2992
18125,1,4,4,1869
18127,11,52,49,27455
18129,2,9,9,3576
18131,2,6,6,2078
18133,7,17,16,5738
18135,6,13,13,4292
18137,5,10,8,4485
18139,2,7,6,2291
18141,12,73,67,39081
18143,2,9,9,3877
18145,6,17,16,7428
18147,2,10,10,3269
18149,3,7,7,3541
18151,2,9,9,3713
18153,4,11,9,3094
18155,1,4,4,1524
18157,6,37,35,23530
18159,2,5,5,2422
18161,1,4,4,1400
18163,3,39,37,23327
18165,3,7,7,2498
18167,2,29,28,14689
18169,4,14,13,5144
18171,1,4,4,1225
18173,1,18,18,10272
18175,3,8,8,4151
18177,6,23,22,10479
18179,3,9,9,4867
18181,4,13,13,4490
18183,3,12,12,5848
19001,2,5,5,838
19003,1,2,2,445
19005,3,10,10,2183
19007,3,11,11,1979
19009,1,2,2,692
19011,3,11,11,3990
19013,6,36,36,18147
19015,4,14,14,3824
19017,6,26,26,4708
19019,3,13,13,3405
19021,5,14,14,4181
19023,3,8,8,2353
19025,2,5,5,1555
19027,4,11,11,3011
19029,3,14,14,2849
19031,5,13,13,3344
19033,3,16,16,5917
19035,3,7,7,1991
19037,2,7,7,1897
19039,2,5,5,1749
19041,2,7,7,2273
19043,5,12,12,2376
19045,6,18,18,7543
19047,4,12,12,3145
19049,6,33,33,17885
19051,1,3,3,1262
19053,2,6,6,1170
19055,2,8,8,2774
19057,4,16,16,6483
19059,3,8,8,2856
19061,2,27,27,13789
19063,2,5,5,1565
19065,5,15,15,3361
19067,2,6,6,2446
19069,2,6,6,1860
19071,3,6,6,1202
19073,2,6,6,1532
19075,4,12,12,2363
19077,4,11,11,2024
19079,4,8,8,2563
19081,2,7,7,1385
19083,5,14,14,3068
19085,5,11,11,2529
19087,4,13,13,3253
19089,2,5,5,1472
19091,3,6,6,1538
19093,2,5,5,1050
19095,4,8,8,2723
19097,4,10,10,2797
19099,5,18,18,5666
19101,2,8,8,2419
19103,4,37,37,18176
19105,4,10,10,2931
19107,3,7,7,1181
19109,3,8,8,2026
19111,3,12,12,4847
19113,12,77,77,37128
19115,4,10,10,2368
19117,1,4,4,1252
19119,3,10,10,2172
19121,3,10,10,3219
19123,2,6,6,3041
19125,5,17,17,5603
19127,3,15,15,7299
19129,2,6,6,2522
19131,2,6,6,1591
19133,3,9,9,1253
19135,1,5,5,1222
19137,3,8,8,1803
19139,3,16,16,7307
19141,3,8,8,2286
19143,1,3,3,801
19145,4,11,11,2533
19147,4,11,11,1570
19149,5,18,18,4141
19151,3,6,6,903
19153,10,128,128,77964
19155,8,33,33,15851
19157,3,10,10,2787
19159,2,4,4,752
19161,3,8,8,1656
19163,5,52,52,27826
19165,2,7,7,2003
19167,5,15,15,5002
